term	value
task_too_slow	Hai impiegato troppo tempo per rispondere. Cerca di rispondere pi&ugrave; velocemente.
task_invalid_key	Hai premuto un tasto non valido.
task_release_keys	Ora puoi rilasciare i tasti della tastiera.  
click_to_focus	Lo studio &egrave; in pausa; premi qui per continuare. 
task_red_x_on_error	Se premi il tasto sbagliato una X rossa apparir&agrave; sullo schermo. Puoi correggere la risposta premendo il tasto corretto. 
task_fast_but_accurate	Questo compito &egrave; finalizzato alla velocit&agrave;, perci&ograve; cerca di rispondere il pi&ugrave; velocemente e accuratamente possibile, senza commettere troppi errori.
task_block_intro	Ti trovi ora al blocco #[block_counter] di #[block_total].
gaat_task_intro_slide_1	Tra un istante alcune immagini appariranno sullo schermo. Ogni immagine &egrave; orientata a sinistra (senso antiorario) o a destra (senso orario).<br><br>#[gaat_keys]
gaat_task_intro_slide_2	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
gaat_keys_approach_left	Se l'immagine &egrave; orientata verso sinistra, avvicina le immagini verso di te premendo (e mantenendo premuto) il tasto "N". Se l'immagine &egrave; orientata verso destra, allora allontana le immagini premendo (e mantenendo premuto) il tasto "U".  
gaat_keys_approach_right	Se l'immagine &egrave; orientata verso destra, avvicina le immagini verso di te premendo (e mantenendo premuto) il tasto "N". Se l'immagine &egrave; orientata verso sinistra, allora allontana le immagini premendo (e mantenendo premuto) il tasto "U".  
gaat_slide_keys_first	Premi il tasto "N" per continuare.
gaat_slide_keys_later	Premi il tasto "N" per continuare o "U" per tornare indietro. 
gvpt_task_intro_slide_1	Tra un istante appariranno alcune immagini sullo schermo: una &egrave; posizionata a sinistra e una a destra. Successivamente alle immagini, una freccia apparir&agrave; alla destra o alla sinistra dello schermo. Indica se la freccia punta in alto o in basso. <br><br>#[gvpt_keys]
gvpt_task_intro_slide_2	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
gvpt_keys	Se la freccia punta verso l'alto, allora premi il tasto "U" della tastiera. Se la freccia punta verso il basso, allora premi il tasto "N". 
gvpt_slide_keys_first	Premi il tasto "N" per continuare.
gvpt_slide_keys_later	Premi il tasto "N" per continuare o "U" per tornare indietro. 
stroop_task_intro_slide_intro	Tra un istante parole o simboli (e.g., ###) appariranno sullo schermo. Possono essere di colore blu, verde, giallo o rosso.Indicare il colore di ciascuna parola o ciascun simbolo, ignorando il suo contenuto.
stroop_task_intro_slide_keys	#[stroop_keys]<br><br>Posiziona il dito indice e medio sinistri sui tasti "D" e "K", e il tuo dito indice e medio destri sui tasti "N" e "K". 
stroop_task_intro_slide_1_1	Questo &egrave; un blocco di pratica. Durante questo blocco i tasti di risposta colorati sono visualizzati sullo schermo, per aiutare la pratica del compito. 
stroop_task_intro_slide_1_2	Questo &egrave; un blocco di pratica. Durante questo blocco i tasti di risposta sono visualizzati sullo schermo, ma saranno bianchi invece che colorati.
stroop_task_intro_slide_1_3	Questa &egrave; la prima parte del blocco finale.Ora i tasti di risposta non sono pi&ugrave; visualizzati sullo  schermo.<br><br>#[stroop_keys]
stroop_task_intro_slide_1_4	Questa &egrave; la seconda parte del blocco finale.
stroop_task_intro_slide_2	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
stroop_keys	Se la parola o il simbolo &egrave; di colore blu, premi il tasto "D". Se &egrave; verde, premi il tasto "V". Se &egrave; giallo, premi il tasto "N". Se &egrave; rosso, premi il tasto "K".
stroop_slide_keys_first	Premi il tasto "N" per continuare.
stroop_slide_keys_later	Premi il tasto "N" per continuare o "V" per tornare indietro. 
stroop_word_blue	blu
stroop_word_green	verde
stroop_word_yellow	giallo
stroop_word_red	rosso
stroop_word_neutral1	====
stroop_word_neutral2	&&&&&
stroop_word_neutral3	######
stroop_word_neutral4	$$$
giat_slide_keys_first	Premi il tasto "I" per continuare.
giat_slide_keys_later	Premi il tasto "I" per continuare o "E" per tornare indietro.
biat_practice_slide_1	In alto sullo schermo puoi vedere le categorie "#[category_target]" e "#[category_practice]".<br><br>Tra un istante alcune parole appariranno al centro dello schermo. 
biat_first_slide	In alto sullo schermo puoi vedere ora le categorie "#[category_target]" e "#[category_first]".<br><br>#[giat_more_words]
biat_second_slide	In alto sullo schermo puoi vedere ora le categorie "#[category_target]" e "#[category_first]".<br><br>#[giat_more_words]
biat_keys_first	Se la parola appartiene alla categoria "#[category_target]" o "#[category_first]", premi il tasto "E". Altrimenti premi il tasto "I". 
biat_keys_second	Se la parola appartiene alla categoria "#[category_target]" o "#[category_second]", premi il tasto "E". Altrimenti premi il tasto "I". 
biat_keys_practice	Se la parola appartiene alla categoria "#[category_target]" o "#[category_practice]", premi il tasto "E". Altrimenti premi il tasto "I". 
giat_mind_categories	Tieni a mente queste categorie mentre esegui il compito. 
giat_intro_slide	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
giat_more_words	Altre parole appariranno al centro dello schermo. 
giat_word_overview	Di seguito sono presentate le parole appartenenti a ciascuna categoria.<br /><br />#[word_overview]
word_mammal_category	Mammiferi
word_mammal_1	cavallo 
word_mammal_2	pecora
word_mammal_3	gatto
word_mammal_4	elefante
word_bird_category	Uccelli
word_bird_1	rondine
word_bird_2	aquila
word_bird_3	falco
word_bird_4	piccione
word_alcohol_category	Alcolici
word_alcohol_1	vino 
word_alcohol_2	birra
word_alcohol_3	vodka
word_alcohol_4	rum
word_soda_category	Analcolici
word_soda_1	pepsi
word_soda_2	latte
word_soda_3	acqua
word_soda_4	the
word_approach_category	Avvicinare
word_approach_1	prendere
word_approach_2	accostare
word_approach_3	vicinanza
word_approach_4	toccare
word_avoid_category	Evitare
word_avoid_1	scappare
word_avoid_2	respingere
word_avoid_3	evitamento 
word_avoid_4	schivare
all_done	Hai completato il demo. Grazie per la tua partecipazione!
