term	value
task_too_slow	Jūs per ilgai laukėte atsakyti. Pabandykite atsakyti greičiau.
task_invalid_key	Jūs paspaudėte neteisingą mygtuką.
task_release_keys	Galite nebespausti klaviatūros mygtukų.
click_to_focus	Tyrimas buvo sustabdytas, paspauskite čia jei norite tęsti.
task_red_x_on_error	Jei paspausite neteisingą klavišą, atsiras raudonas "X". Paspausdami teisingą klavišą, Jus galite tai galite ištaisyti.
task_fast_but_accurate	Ši užduotis matuoja atsakymo greitį, todėl pabandykite reaguoti kaip įmanoma greičiau, nedarant pernelyg daug klaidų.
task_block_intro	Jūs dabar esate #[block_counter] bloke iš #[block_total].
giat_slide_keys_first	Paspauskite "I", norėdami tęsti toliau
giat_slide_keys_later	Paspauskite "I", norėdami tęsti arba "E" norėdami grįžti atgal. 
giat_mind_categories	Laikykite šias kategorijas omenyje atlikinėjant užduotį.
giat_intro_slide	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
giat_first_words	Netrukus žodžiai pasirodys viduryje ekrano.
giat_more_words	Pasirodys daugiau žodžių viduryje ekrano.
giat_word_overview	Žemiau išvardinti žodžiai priklauso kiekvienai kategorijai.<br /><br />#[word_overview]
biat_practice_slide_1	Ekrano viršuje matote kategorijas "#[category_target]" ir "#[category_practice]". #[giat_mind_categories] <br> #[giat_first_words]
biat_first_slide	Ekrano viršuje dabar matote kategorijas "#[category_target]" ir "#[category_first]".  #[giat_mind_categories]<br><br>#[giat_more_words]
biat_second_slide	Ekrano viršuje dabar matote kategorijas "#[category_target]" ir "#[category_second]".  #[giat_mind_categories]<br><br>#[giat_more_words]
biat_keys_first	Jei žodis priklauso "#[category_target]" arba "#[category_first], tada paspauskite "E"  klavišą. Antraip, spauskite "I" klavišą.
biat_keys_second	Jei žodis priklauso "#[category_target]" arba "#[category_second], tada paspauskite "E"  klavišą. Antraip, spauskite "I" klavišą.
biat_keys_practice	Jei žodis priklauso "#[category_target]" arba "#[category_practice], tada paspauskite "E"  klavišą. Antraip, spauskite "I" klavišą.
word_mammal_category	Žinduoliai
word_mammal_1	arklys
word_mammal_2	avis
word_mammal_3	katė
word_mammal_4	dramblys
word_bird_category	Paukščiai
word_bird_1	bird1
word_bird_2	bird2
word_bird_3	bird3
word_bird_4	bird4
word_alcohol_category	Alkoholis
word_alcohol_1	vynas
word_alcohol_2	alus
word_alcohol_3	degtinė
word_alcohol_4	romas
word_soda_category	Ne-alkoholis
word_soda_1	soda1
word_soda_2	soda2
word_soda_3	soda3
word_soda_4	soda4
word_approach_category	Prisiartinti (pleasant)
word_approach_1	pasiekti
word_approach_2	traukti
word_approach_3	arti
word_approach_4	paliesti
word_avoid_category	Vengti (unpleasant)
word_avoid_1	ištrūkti
word_avoid_2	atstumti
word_avoid_3	išvengti
word_avoid_4	išsisukti
giat_first_discr_slide_1	Viršutiniame ekrano kampe, kairėje pusėje matote kategoriją "#[category_left_1]", o dešinėje pusėje matote "#[category_right_1]". <br> Netrukus pasirodys žodžiai viduryje ekrano.
giat_keys_mono	Jei žodis priklauso "#[category_left_1]", tada paspauskite "E"  klavišą. Jei žodis priklauso "#[category_right_1]", tada spauskite "I" klavišą.
stiat_slide_left	Dabar kategorijos "#[category_left_1]" arba "#[category_left_2]" randasi kairėje pusėje viršutiniame ekrano kampe. Dešinėje pusėje matote "#[category_right_1]".<br><br>#[giat_more_words]  
stiat_keys_left	Jei žodis priklauso "#[category_left_1]" arba "#[category_left_2]", tada paspauskite "E"  klavišą. Jei žodis priklauso "#[category_right_1]", tada spauskite "I" klavišą.
stiat_slide_right	Dabar kategorija "#[category_left_1]" randasi kairėje pusėje viršutiniame ekrano kampe. Dešinėje pusėje matote "#[category_right_1]" ir "#[category_right_2]".<br><br>#[giat_more_words] 
stiat_keys_right	Jei žodis priklauso "#[category_left_1]", paspauskite "E"  klavišą. Jei žodis priklauso "#[category_right_1]" arba "#[category_right_2]", tada spauskite "I" klavišą.
