term	value
task_too_slow	Je hebt te lang gewacht met reageren. Probeer sneller te reageren.
task_invalid_key	Je hebt een ongeldige toets ingedrukt. 
task_release_keys	Je kunt de toetsen op het toetsenbord nu loslaten. 
click_to_focus	Het onderzoek is gepauzeerd; klik hier om verder te gaan.
task_red_x_on_error	Als je de verkeerde toets indrukt verschijnt er een rode X . Je kunt dit corrigeren door alsnog de juiste toets in te drukken.
task_fast_but_accurate	Deze taak is gericht op snelheid, dus probeer zo snel mogelijk te reageren en zo min mogelijk fouten te maken.
task_block_intro	Je bent nu bij blok #[block_counter] van #[block_total].
gaat_task_intro_slide_1	Er verschijnen dadelijk plaatjes. Elk plaatje is naar links gedraaid (tegen de klok in) of naar rechts gedraaid (met de klok mee).<br><br>#[gaat_keys]
gaat_task_intro_slide_2	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
gaat_keys_approach_left	Wanneer het plaatje naar links gedraaid is, trek dit plaatje dan naar je toe door de "N"-toets in te drukken (en vast te houden). Wanneer het plaatje naar rechts gedraaid is, duw dit plaatje dan van je af door de "U"-toets in te drukken (en vast te houden).
gaat_keys_approach_right	Wanneer het plaatje naar rechts gedraaid is, trek dit plaatje dan naar je toe door de "N"-toets in te drukken (en vast te houden). Wanneer het plaatje naar links gedraaid is, duw dit plaatje dan van je af door de "U"-toets in te drukken (en vast te houden).
gaat_slide_keys_first	Druk op "N" om verder te gaan. 
gaat_slide_keys_later	Druk op "N" om verder te gaan of op "U" om terug te gaan.
gvpt_task_intro_slide_1	Straks verschijnen twee afbeeldingen; &eacute;&eacute;n links en &eacute;&eacute;n rechts op het scherm. Vervolgens verschijnt een pijl aan de linker- of aan de rechterkant. Geef aan of de pijl naar boven of naar beneden wijst.<br><br>#[gvpt_keys]
gvpt_task_intro_slide_2	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
gvpt_keys	Als de pijl omhoog wijst, druk dan op de "U"-toets op het toetsenbord. Als de pijl omlaag wijst, druk dan op de "N"-toets.
gvpt_slide_keys_first	Druk op "N" om verder te gaan. 
gvpt_slide_keys_later	Druk op "N" om verder te gaan of op "U" om terug te gaan.
stroop_task_intro_slide_intro	Er verschijnen dadelijk woorden. De woorden hebben een blauwe, groene, gele of rode kleur. Geef de kleur aan waarin het woord verschijnt.
stroop_task_intro_slide_keys	#[stroop_keys]<br><br>Plaats je linker wijsvinger en middelvinger op "D" en "V". Plaats je rechter wijsvinger en middelvinger op "N" en "K".
stroop_task_intro_slide_1_1	Dit is een oefenblok. Tijdens dit blok zijn de gekleurde toetsen onderaan het scherm te zien.
stroop_task_intro_slide_1_2	Dit is een oefenblok. Tijdens dit blok zijn de toetsen onderaan het scherm te zien, maar ze zijn wit in plaats van gekleurd.
stroop_task_intro_slide_1_3	Dit is deel &eacute;&eacute;n van het laatste blok. De toetsen zijn nu niet meer te zien.<br><br>#[stroop_keys]
stroop_task_intro_slide_1_4	Dit is deel twee van het laatste blok.
stroop_task_intro_slide_2	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
stroop_keys	Bij een blauw woord, druk de "D"-toets in.<br><br>Bij een groen woord, de "V"-toets.<br><br>Bij een geel woord, de "N"-toets.<br><br>Bij een rood woord, de "K"-toets. 
stroop_slide_keys_first	Druk op "N" om verder te gaan. 
stroop_slide_keys_later	Druk op "N" om verder te gaan of op "V" om terug te gaan.
stroop_word_blue	blauw
stroop_word_green	groen
stroop_word_yellow	geel
stroop_word_red	rood
stroop_word_neutral1	====
stroop_word_neutral2	&&&&&
stroop_word_neutral3	######
stroop_word_neutral4	$$$
giat_slide_keys_first	Druk op "I" om verder te gaan. 
giat_slide_keys_later	Druk op "I" om verder te gaan of op "E" om terug te gaan.
biat_practice_slide_1	Bovenaan het scherm zie je de categorie&euml;n "#[category_target]" en "#[category_practice]". #[giat_mind_categories]<br><br>Straks verschijnen woorden in het midden van het scherm.
biat_first_slide	Bovenaan het scherm zie je nu de categorie&euml;n "#[category_target]" and "#[category_first]".  #[giat_mind_categories]<br><br>#[giat_more_words]
biat_second_slide	Bovenaan het scherm zie je nu de categorie&euml;n "#[category_target]" and "#[category_second]".  #[giat_mind_categories]<br><br>#[giat_more_words]
biat_keys_first	Als het woord bij "#[category_target]" of "#[category_first]" hoort, druk dan op "E". Druk anders op "I".
biat_keys_second	Als het woord bij "#[category_target]" of "#[category_second]" hoort, druk dan op "E". Druk anders op "I".
biat_keys_practice	Als het woord bij "#[category_target]" of "#[category_practice]" hoort, druk dan op "E". Druk anders op "I".
giat_mind_categories	Houd deze categorie&euml;n in gedachten terwijl je bezig bent.
giat_intro_slide	#[task_red_x_on_error]<br><br>#[task_fast_but_accurate]
giat_more_words	Meer woorden zullen verschijnen in het midden van het scherm. 
giat_word_overview	Hieronder staan de woorden die horen bij elke categorie.<br /><br />#[word_overview]
word_mammal_category	Zoogdieren
word_mammal_1	paard
word_mammal_2	schaap
word_mammal_3	kat
word_mammal_4	olifant
word_bird_category	Vogels
word_bird_1	zwaluw
word_bird_2	adelaar
word_bird_3	havik
word_bird_4	duif
word_alcohol_category	Alcohol
word_alcohol_1	wijn
word_alcohol_2	bier
word_alcohol_3	wodka
word_alcohol_4	rum
word_soda_category	Non-alcohol
word_soda_1	pepsi
word_soda_2	melk
word_soda_3	water
word_soda_4	thee
word_approach_category	Benaderen
word_approach_1	krijgen
word_approach_2	trekken
word_approach_3	dichtbij
word_approach_4	aanraken
word_avoid_category	Vermijden
word_avoid_1	ontvluchten
word_avoid_2	afwijzen
word_avoid_3	ontwijken
word_avoid_4	weigeren
all_done	Je hebt de demonstratie afgerond. Dank voor je deelname!
